,1-PGA-1-1, 1-SA_1.0-1-1, 1-PGD-1-1, 1-PGD-1-3
8.100000000000000000e+01,1.564658062668892455e+02,7.641939575852441635e+01,3.139519278246885392e+01,1.930200143413755454e+00
8.200000000000000000e+01,1.537519207957763001e+02,3.449517297483574794e+02,2.095622274198631985e+01,1.501791239130425337e+00
8.300000000000000000e+01,7.478034192142847303e+01,1.047139328360730417e+02,4.457656548032963428e+01,3.629631252021225052e+00
8.400000000000000000e+01,2.647829455319933345e+02,1.563642212398654578e+02,3.586133519745816756e+01,2.113654994269567045e+00
8.500000000000000000e+01,1.257232674194374198e+02,2.715061770521011795e+02,2.251870111537163055e+01,1.573715709230504523e+00
8.600000000000000000e+01,2.361702956486848564e+02,3.936799849119702088e+01,3.514614715446622739e+01,2.076912189852705648e+00
8.700000000000000000e+01,1.594615539803751005e+02,7.484260992430169779e+01,7.903535612163817348e+01,5.444396132110800757e+00
8.800000000000000000e+01,8.013585142014333940e+01,5.333099819893993043e+01,2.301395302962317757e+01,1.604253230861704127e+00
8.900000000000000000e+01,1.429979836111000395e+02,3.265098390770568813e+02,1.681877829137076930e+01,1.276696641905884944e+00
9.000000000000000000e+01,1.287412128237297111e+02,9.024461457353631033e+01,7.365302450083622432e+01,5.160871425427751902e+00
9.100000000000000000e+01,1.335780048259032640e+02,3.792787645657747930e+02,2.728365557503689587e+01,1.826725097360904382e+00
9.200000000000000000e+01,1.660548515182541678e+02,1.804871078790107788e+02,1.768848438170371296e+01,1.254046157529282723e+00
9.300000000000000000e+01,6.745446805993896078e+01,3.354755702311699110e+02,1.277254266415926942e+01,1.077932160746539747e+00
9.400000000000000000e+01,1.418193264849820991e+02,1.057805289759681500e+03,1.320312337090319588e+01,1.096866217872869642e+00
9.500000000000000000e+01,1.409292783724200717e+02,1.758581251794437321e+02,2.882149586016241471e+01,1.878520104682442016e+00
9.600000000000000000e+01,2.150388773325719853e+02,4.325407888498274360e+02,1.422032616493461177e+01,1.146255230827678773e+00
9.700000000000000000e+01,1.615201915527309495e+02,2.378067723033140339e+02,2.125663027804362670e+01,1.513668119511645038e+00
9.800000000000000000e+01,1.492989371757282129e+02,8.034868853400358546e+01,3.045218809444921249e+01,1.909632249083279332e+00
9.900000000000000000e+01,2.289074807457106999e+02,9.315062775060540901e+01,8.346972387555868522e+01,5.510900970336837901e+00
