ID,Incomplete,Quantity-Unit,DV-Unit,DS1-Family,DS1-Theta_0,DS1-Theta_1,DS1-AffectedArea,DS2-Family,DS2-Theta_0,DS2-Theta_1,DS2-AffectedArea,DS3-Family,DS3-Theta_0,DS3-Theta_1,DS3-AffectedArea,DS4-Family,DS4-Theta_0,DS4-Theta_1,DS4-AffectedArea,DS5-Family,DS5-Theta_0,DS5-Theta_1,DS5-AffectedArea,DS6-Family,DS6-Theta_0,DS6-Theta_1,DS6-AffectedArea,DS7-Family,DS7-Theta_0,DS7-Theta_1,DS7-AffectedArea,DS8-Family,DS8-Theta_0,DS8-Theta_1,DS8-AffectedArea,DS9-Family,DS9-Theta_0,DS9-Theta_1,DS9-AffectedArea,DS10-Family,DS10-Theta_0,DS10-Theta_1,DS10-AffectedArea,DS11-Family,DS11-Theta_0,DS11-Theta_1,DS11-AffectedArea,DS12-Family,DS12-Theta_0,DS12-Theta_1,DS12-AffectedArea,DS13-Family,DS13-Theta_0,DS13-Theta_1,DS13-AffectedArea,DS14-Family,DS14-Theta_0,DS14-Theta_1,DS14-AffectedArea,DS15-Family,DS15-Theta_0,DS15-Theta_1,DS15-AffectedArea
D.10.14.011-S2,0,1 EA,persons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lognormal,0.05,0.5,40 SF,lognormal,0.05,0.5,40 SF,lognormal,0.05,0.5,40 SF,lognormal,0.05,0.5,40 SF,lognormal,0.05,0.5,40 SF,lognormal,0.05,0.5,40 SF,lognormal,0.05,0.5,40 SF,lognormal,0.05,0.5,40 SF
D.10.14.012-S1,0,1 EA,persons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lognormal,0.1,0.5,40 SF,lognormal,0.1,0.5,40 SF,lognormal,0.1,0.5,40 SF,lognormal,0.1,0.5,40 SF,lognormal,0.1,0.5,40 SF,lognormal,0.1,0.5,40 SF,lognormal,0.1,0.5,40 SF,lognormal,0.1,0.5,40 SF
D.10.14.012-S2,0,1 EA,persons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lognormal,0.05,0.5,40 SF,lognormal,0.05,0.5,40 SF,lognormal,0.05,0.5,40 SF,lognormal,0.05,0.5,40 SF,lognormal,0.05,0.5,40 SF,lognormal,0.05,0.5,40 SF,lognormal,0.05,0.5,40 SF,lognormal,0.05,0.5,40 SF
D.20.61.023a-S1,0,1000 LF,persons,,,,,lognormal,0.05,0.5,10 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.20.61.024a-S1,0,1000 LF,persons,,,,,lognormal,0.05,0.5,10 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.30.41.001a-S1,0,10 EA,persons,,,,,lognormal,0.1,0.5,10 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.30.41.001a-S2,0,10 EA,persons,,,,,lognormal,0.05,0.5,10 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.30.41.001b-S1,0,10 EA,persons,,,,,lognormal,0.1,0.5,10 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.30.41.001b-S2,0,10 EA,persons,,,,,lognormal,0.05,0.5,10 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.30.41.001c-S1,0,10 EA,persons,,,,,lognormal,0.1,0.5,10 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.30.41.001c-S2,0,10 EA,persons,,,,,lognormal,0.05,0.5,10 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.30.41.001d-S1,0,10 EA,persons,,,,,lognormal,0.1,0.5,10 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.30.41.001d-S2,0,10 EA,persons,,,,,lognormal,0.05,0.5,10 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.30.41.011a-S1,0,1000 LF,persons,,,,,lognormal,0.05,0.5,15 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.30.41.011b-S1,0,1000 LF,persons,,,,,lognormal,0.05,0.5,15 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
