ID,Incomplete,Quantity-Unit,DV-Unit,DS1-Family,DS1-Theta_0,DS1-Theta_1,DS1-LongLeadTime,DS2-Family,DS2-Theta_0,DS2-Theta_1,DS2-LongLeadTime,DS3-Family,DS3-Theta_0,DS3-Theta_1,DS3-LongLeadTime,DS4-Family,DS4-Theta_0,DS4-Theta_1,DS4-LongLeadTime,DS5-Family,DS5-Theta_0,DS5-Theta_1,DS5-LongLeadTime,DS6-Family,DS6-Theta_0,DS6-Theta_1,DS6-LongLeadTime,DS7-Family,DS7-Theta_0,DS7-Theta_1,DS7-LongLeadTime,DS8-Family,DS8-Theta_0,DS8-Theta_1,DS8-LongLeadTime,DS9-Family,DS9-Theta_0,DS9-Theta_1,DS9-LongLeadTime,DS10-Family,DS10-Theta_0,DS10-Theta_1,DS10-LongLeadTime,DS11-Family,DS11-Theta_0,DS11-Theta_1,DS11-LongLeadTime,DS12-Family,DS12-Theta_0,DS12-Theta_1,DS12-LongLeadTime,DS13-Family,DS13-Theta_0,DS13-Theta_1,DS13-LongLeadTime,DS14-Family,DS14-Theta_0,DS14-Theta_1,DS14-LongLeadTime,DS15-Family,DS15-Theta_0,DS15-Theta_1,DS15-LongLeadTime
B1033.063a-Time,0,1 EA,worker_day,normal,"30.5417,20.7684|3,7",0.409633,0,normal,"36.1847,24.6056|3,7",0.395007,0,normal,"37.4255,25.4493|3,7",0.392358,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1033.063b-Cost,0,1 EA,US$_2011,normal,"46152,31383.3|3,7",0.324498,,normal,"71197.1,48414|3,7",0.282495,,normal,"75572.1,51389|3,7",0.278312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1033.063b-Time,0,1 EA,worker_day,normal,"30.5417,20.7684|3,7",0.409633,0,normal,"47.1157,32.0387|3,7",0.377231,0,normal,"50.0109,34.0074|3,7",0.374109,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1033.063c-Cost,0,1 EA,US$_2011,normal,"46152,31383.3|3,7",0.324498,,normal,"90203.9,61338.7|3,7",0.268169,,normal,"97078.9,66013.7|3,7",0.26435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1033.063c-Time,0,1 EA,worker_day,normal,"30.5417,20.7684|3,7",0.409633,0,normal,"59.6938,40.5917|3,7",0.366626,0,normal,"64.2434,43.6855|3,7",0.363842,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1033.071a-Cost,0,1 EA,US$_2011,normal,"50591.1,34401.9|3,7",0.313178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1033.071a-Time,0,1 EA,worker_day,normal,"33.4794,22.766|3,7",0.400725,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1033.071b-Cost,0,1 EA,US$_2011,normal,"62283.3,42352.6|3,7",0.29403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1033.071b-Time,0,1 EA,worker_day,normal,"41.2169,28.0275|3,7",0.385945,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1033.071c-Cost,0,1 EA,US$_2011,normal,"76226.7,51834.2|3,7",0.278584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1033.071c-Time,0,1 EA,worker_day,normal,"50.4441,34.302|3,7",0.374311,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1033.072a-Cost,0,1 EA,US$_2011,normal,"48852.1,33219.4|3,7",0.317523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1033.072a-Time,0,1 EA,worker_day,normal,"32.3286,21.9835|3,7",0.40413,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1033.072b-Cost,0,1 EA,US$_2011,normal,"55767.3,37921.8|3,7",0.303623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
